source_row_id,ledger_entry_id,entry_date,payment_reference,invoice_reference,recorded_amount,tax_amount,tds_amount,gst_amount,mdr_amount,mdr_gst,fee_amount,entry_type
L244,LED230,2026-08-20,PAY230,INV229,3622.60,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L151,LED151,2026-08-20,PAY151,INV151,5418.03,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L148,LED148,2026-08-20,PAY148,INV148,1985.75,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L221,LED213,2026-08-20,PAY213,INV213,6838.64,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L215,LED209,2026-08-20,PAY209,INV209,19808.50,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L173,LED167,2026-08-20,PAY167,INV167,2655.61,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L247,LED233,2026-08-20,PAY233,INV233,2200.95,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L059,LED059,2026-08-20,PAY059,INV059,2576.53,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L024,LED024,2026-08-20,PAY024,INV024,2458.87,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L007,LED007,2026-08-20,PAY007,INV007,13398.87,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L129,LED129,2026-08-20,PAY129,INV129,13199.02,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L166,LED163_L166,2026-08-20,PAY163,INV163,2761.63,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L222,LED213R,2026-08-22,PAY213-REFUND,INV213,-2156.11,0.00,0.00,0.00,0.00,0.00,0.00,REFUND
L021,LED021,2026-08-20,PAY021,INV021,12116.42,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L042,LED042,2026-08-20,PAY042,INV042,830.49,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L225,LED215,2026-08-20,PAY215,INV215,2847.89,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L253,LED239,2026-08-20,PAY239,INV239,8803.78,0.00,0.00,0.00,0.00,0.00,0.00,SALE
L257,LED243,2026-08-20,PAY243,INV243,4462.52,0.00,0.00,223.13,0.00,0.00,0.00,SALE
L140,LED140,2026-08-20,PAY140,INV140,1165.53,0.00,0.00,0.00,0.00,0.00,0.00,SALE
